1.00000000	2.32000000	7.69735638	0.00000092
2.00000000	2.34000000	6.95591863	74.14377415
3.00000000	2.36000000	5.37264608	84.18348034
4.00000000	2.38000000	3.81368117	71.71301124
5.00000000	2.40000000	2.52708501	56.94660428
6.00000000	2.42000000	1.49665644	46.09625322
7.00000000	2.44000000	0.64883009	38.68638124
8.00000000	2.46000000	-0.07040706	33.23733451
9.00000000	2.48000000	-0.69086231	28.80818985
10.00000000	2.50000000	-1.22802804	24.90838301
11.00000000	2.52000000	-1.69057786	21.34659924
12.00000000	2.54000000	-2.08485311	18.08092633
13.00000000	2.56000000	-2.41668068	15.10183061
14.00000000	2.58000000	-2.69168352	12.39845268
15.00000000	2.60000000	-2.91524531	9.95772621
16.00000000	2.62000000	-3.09247016	7.76475905
17.00000000	2.64000000	-3.22814991	5.80321583
18.00000000	2.66000000	-3.32673943	4.05573698
19.00000000	2.68000000	-3.39234131	2.50445023
20.00000000	2.70000000	-3.42870100	1.13151865
21.00000000	2.72000000	-3.43921308	-0.08031000
22.00000000	2.74000000	-3.42693838	-1.14715998
23.00000000	2.76000000	-3.39463034	-2.08364391
24.00000000	2.78000000	-3.34476506	-2.90288418
25.00000000	2.80000000	-3.27956928	-3.61669394
26.00000000	2.82000000	-3.20104470	-4.23576426
27.00000000	2.84000000	-3.11098858	-4.76984762
28.00000000	2.86000000	-3.01101163	-5.22784742
29.00000000	2.88000000	-2.90255647	-5.61766869
30.00000000	2.90000000	-2.78692003	-5.94597480
31.00000000	2.92000000	-2.66528088	-6.21794061
32.00000000	2.94000000	-2.53873135	-6.43701233
33.00000000	2.96000000	-2.40831277	-6.60484579
34.00000000	2.98000000	-2.27504734	-6.72169707
35.00000000	3.00000000	-2.13996046	-6.78699142
36.00000000	3.02000000	-2.00409155	-6.79989910
37.00000000	3.04000000	-1.86849345	-6.75991137
38.00000000	3.06000000	-1.73422009	-6.66742416
39.00000000	3.08000000	-1.60230244	-6.52434086
40.00000000	3.10000000	-1.47371221	-6.33468265
41.00000000	3.12000000	-1.34931339	-6.10519918
42.00000000	3.14000000	-1.22980186	-5.84595379
43.00000000	3.16000000	-1.11563983	-5.57024903
44.00000000	3.18000000	-1.00700856	-5.29287746
45.00000000	3.20000000	-0.90380266	-5.02771264
46.00000000	3.22000000	-0.80567279	-4.78527477
47.00000000	3.24000000	-0.71211670	-4.57033374
48.00000000	3.26000000	-0.62260852	-4.38048424
49.00000000	3.28000000	-0.53673180	-4.20718858
50.00000000	3.30000000	-0.45428199	-4.03779157
51.00000000	3.32000000	-0.37532835	-3.85757278
52.00000000	3.34000000	-0.30023467	-3.65179577
53.00000000	3.36000000	-0.22963993	-3.40767756
54.00000000	3.38000000	-0.16440160	-3.11615558
55.00000000	3.40000000	-0.10550430	-2.77357493
56.00000000	3.42000000	-0.05393482	-2.38337249
57.00000000	3.44000000	-0.01052404	-1.95770608
58.00000000	3.46000000	0.02422954	-1.51765150
59.00000000	3.48000000	0.05030370	-1.08976470
60.00000000	3.50000000	0.06821347	-0.70121198
61.00000000	3.52000000	0.07897404	-0.37484503
62.00000000	3.54000000	0.08396599	-0.12434958
63.00000000	3.56000000	0.08472253	0.04869543
64.00000000	3.58000000	0.08270649	0.15290853
65.00000000	3.60000000	0.07914454	0.20328581
66.00000000	3.62000000	0.07493861	0.21730750
67.00000000	3.64000000	0.07065469	0.21108466
68.00000000	3.66000000	0.06657837	0.19654773
69.00000000	3.68000000	0.06280009	0.18128005
70.00000000	3.70000000	0.05929335	0.16939322
71.00000000	3.72000000	0.05597500	0.16244261
72.00000000	3.74000000	0.05274719	0.16033770
73.00000000	3.76000000	0.04952262	0.16211947
74.00000000	3.78000000	0.04623743	0.16640003
75.00000000	3.80000000	0.04285673	0.17166939
76.00000000	3.82000000	0.03937407	0.17659700
77.00000000	3.84000000	0.03580481	0.18032875
78.00000000	3.86000000	0.03217487	0.18266521
79.00000000	3.88000000	0.02850884	0.18393830
80.00000000	3.90000000	0.02482176	0.18476918
81.00000000	3.92000000	0.02111585	0.18582160
82.00000000	3.94000000	0.01738205	0.18755832
83.00000000	3.96000000	0.01360567	0.19007971
84.00000000	3.98000000	0.00977317	0.19317062
85.00000000	4.00000000	0.00587717	0.19642929
86.00000000	4.02000000	0.00191888	0.19939947
87.00000000	4.04000000	-0.00209212	0.20170096
88.00000000	4.06000000	-0.00614033	0.20312022
89.00000000	4.08000000	-0.01020753	0.20359933
90.00000000	4.10000000	-0.01427537	0.20318507
91.00000000	4.12000000	-0.01832699	0.20197642
92.00000000	4.14000000	-0.02234748	0.20007256
93.00000000	4.16000000	-0.02632356	0.19753554
94.00000000	4.18000000	-0.03024281	0.19438987
95.00000000	4.20000000	-0.03409308	0.19063669
96.00000000	4.22000000	-0.03786213	0.18626845
97.00000000	4.24000000	-0.04153765	0.18128359
98.00000000	4.26000000	-0.04510746	0.17569771
99.00000000	4.28000000	-0.04855990	0.16954632
100.00000000	4.30000000	-0.05188421	0.16288418
101.00000000	4.32000000	-0.05507089	0.15578452
102.00000000	4.34000000	-0.05811212	0.14833818
103.00000000	4.36000000	-0.06100200	0.14064931
104.00000000	4.38000000	-0.06373672	0.13282276
105.00000000	4.40000000	-0.06631442	0.12494801
106.00000000	4.42000000	-0.06873473	0.11708306
107.00000000	4.44000000	-0.07099795	0.10923873
108.00000000	4.46000000	-0.07310409	0.10137468
109.00000000	4.48000000	-0.07505208	0.09342507
110.00000000	4.50000000	-0.07683969	0.08533600
111.00000000	4.52000000	-0.07846409	0.07710332
