0.000000 -0.000000 0.000000
0.001001 -0.013935 -0.000167
0.002002 -0.025408 -0.000630
0.003003 -0.034531 -0.001333
0.004004 -0.041419 -0.002222
0.005005 -0.046182 -0.003247
0.006006 -0.048935 -0.004359
0.007007 -0.049790 -0.005512
0.008008 -0.048859 -0.006665
0.009009 -0.046255 -0.007776
0.010010 -0.042091 -0.008808
0.011011 -0.036480 -0.009726
0.012012 -0.029534 -0.010498
0.013013 -0.021367 -0.011093
0.014014 -0.012090 -0.011485
0.015015 -0.001816 -0.011649
0.016016 0.009341 -0.011563
0.017017 0.021269 -0.011208
0.018018 0.033855 -0.010567
0.019019 0.046987 -0.009626
0.020020 0.060552 -0.008374
0.021021 0.074437 -0.006801
0.022022 0.088529 -0.004903
0.023023 0.102716 -0.002675
0.024024 0.116885 -0.000117
0.025025 0.130923 0.002771
0.026026 0.144718 0.005983
0.027027 0.158157 0.009512
0.028028 0.171126 0.013349
0.029029 0.183514 0.017482
0.030030 0.195208 0.021896
0.031031 0.206095 0.026573
0.032032 0.216061 0.031493
0.033033 0.224996 0.036633
0.034034 0.232785 0.041969
0.035035 0.239316 0.047471
0.036036 0.244476 0.053110
0.037037 0.248153 0.058853
0.038038 0.250234 0.064662
0.039039 0.250606 0.070500
0.040040 0.249157 0.076326
0.041041 0.245825 0.082097
0.042042 0.240738 0.087768
0.043043 0.234060 0.093303
0.044044 0.225960 0.098665
0.045045 0.216604 0.103823
0.046046 0.206159 0.108750
0.047047 0.194792 0.113423
0.048048 0.182668 0.117822
0.049049 0.169956 0.121931
0.050050 0.156822 0.125739
0.051051 0.143433 0.129237
0.052052 0.129955 0.132422
0.053053 0.116556 0.135294
0.054054 0.103401 0.137856
0.055055 0.090659 0.140115
0.056056 0.078495 0.142085
0.057057 0.067076 0.143779
0.058058 0.056570 0.145218
0.059059 0.047143 0.146424
0.060060 0.038961 0.147424
0.061061 0.032143 0.148250
0.062062 0.026643 0.148932
0.063063 0.022379 0.149501
0.064064 0.019271 0.149984
0.065065 0.017239 0.150408
0.066066 0.016203 0.150795
0.067067 0.016081 0.151170
0.068068 0.016794 0.151551
0.069069 0.018261 0.151958
0.070070 0.020402 0.152407
0.071071 0.023135 0.152914
0.072072 0.026382 0.153490
0.073073 0.030060 0.154146
0.074074 0.034090 0.154893
0.075075 0.038390 0.155737
0.076076 0.042882 0.156684
0.077077 0.047484 0.157736
0.078078 0.052116 0.158897
0.079079 0.056697 0.160164
0.080080 0.061146 0.161538
0.081081 0.065401 0.163012
0.082082 0.069453 0.164584
0.083083 0.073301 0.166247
0.084084 0.076949 0.167998
0.085085 0.080396 0.169832
0.086086 0.083644 0.171743
0.087087 0.086694 0.173728
0.088088 0.089548 0.175782
0.089089 0.092207 0.177900
0.090090 0.094672 0.180077
0.091091 0.096944 0.182310
0.092092 0.099024 0.184593
0.093093 0.100915 0.186923
0.094094 0.102616 0.189295
0.095095 0.104129 0.191703
0.096096 0.105456 0.194146
0.097097 0.106597 0.196616
0.098098 0.107555 0.199112
0.099099 0.108329 0.201627
0.100100 0.108922 0.204158
0.101101 0.109336 0.206702
0.102102 0.109577 0.209252
0.103103 0.109652 0.211807
0.104104 0.109569 0.214361
0.105105 0.109334 0.216911
0.106106 0.108954 0.219455
0.107107 0.108436 0.221988
0.108108 0.107788 0.224507
0.109109 0.107016 0.227010
0.110110 0.106128 0.229493
0.111111 0.105130 0.231955
0.112112 0.104029 0.234391
0.113113 0.102834 0.236802
0.114114 0.101549 0.239183
0.115115 0.100183 0.241533
0.116116 0.098743 0.243851
0.117117 0.097235 0.246134
0.118118 0.095667 0.248382
0.119119 0.094045 0.250592
0.120120 0.092378 0.252764
0.121121 0.090670 0.254897
0.122122 0.088929 0.256989
0.123123 0.087159 0.259040
0.124124 0.085366 0.261050
0.125125 0.083555 0.263018
0.126126 0.081733 0.264944
0.127127 0.079904 0.266827
0.128128 0.078075 0.268668
0.129129 0.076250 0.270466
0.130130 0.074435 0.272221
0.131131 0.072636 0.273934
0.132132 0.070858 0.275606
0.133133 0.069106 0.277237
0.134134 0.067387 0.278827
0.135135 0.065705 0.280377
0.136136 0.064067 0.281889
0.137137 0.062477 0.283363
0.138138 0.060941 0.284801
0.139139 0.059465 0.286204
0.140140 0.058055 0.287573
0.141141 0.056713 0.288909
0.142142 0.055438 0.290216
0.143143 0.054229 0.291493
0.144144 0.053083 0.292744
0.145145 0.051998 0.293968
0.146146 0.050971 0.295167
0.147147 0.050000 0.296343
0.148148 0.049083 0.297498
0.149149 0.048218 0.298631
0.150150 0.047403 0.299745
0.151151 0.046635 0.300840
0.152152 0.045912 0.301919
